method,dataset,direction,T,mean_accuracy,std_accuracy,mean_percent,std_percent,trials
baseline,ATC,given_molecule,4,0.7166611240438977,0.0015598323112149658,71.66611240438976,0.1559832311214966,"[0.7166611240438976, 0.7146657798470236, 0.7193215829730628, 0.7169936814100433, 0.7156634519454605]"
baseline,ATC,given_molecule,10,0.5652144995011639,0.0037542177031380276,56.521449950116384,0.37542177031380275,"[0.5636847356168939, 0.5630196208846026, 0.5640172929830396, 0.562687063518457, 0.5726637845028267]"
baseline,ATC,given_molecule,20,0.47070169604256734,0.0017546931770233431,47.07016960425673,0.17546931770233432,"[0.47156634519454604, 0.4728965746591287, 0.4679082141669438, 0.46957100099767207, 0.47156634519454604]"
baseline,ATC,given_text,4,0.6833388759561025,0.0048712559823346656,68.33388759561025,0.4871255982334666,"[0.6787495843032924, 0.6847356168939142, 0.6920518789491187, 0.679082141669438, 0.6820751579647489]"
baseline,ATC,given_text,10,0.5269704023944131,0.004582056441543035,52.69704023944131,0.4582056441543035,"[0.5277685400731627, 0.5237778516794147, 0.5354173594945129, 0.5224476222148321, 0.525440638510143]"
baseline,ATC,given_text,20,0.433787828400399,0.007078395848028481,43.3787828400399,0.7078395848028481,"[0.4363152643831061, 0.42800133022946457, 0.44662454273362157, 0.42899900232790156, 0.42899900232790156]"
baseline,description,given_molecule,4,0.9138648180242634,0.006452170006581028,91.38648180242635,0.6452170006581028,"[0.9211438474870017, 0.902946273830156, 0.9107452339688041, 0.9185441941074524, 0.915944540727903]"
baseline,description,given_molecule,10,0.8499133448873483,0.00521084796477397,84.99133448873482,0.521084796477397,"[0.8578856152512998, 0.8422876949740035, 0.8526863084922011, 0.8474870017331022, 0.8492201039861352]"
baseline,description,given_molecule,20,0.795840554592721,0.007405844235432084,79.5840554592721,0.7405844235432084,"[0.7998266897746967, 0.7816291161178509, 0.8006932409012132, 0.7954939341421143, 0.8015597920277296]"
baseline,description,given_text,4,0.9051993067590989,0.0059936278910885914,90.51993067590989,0.5993627891088591,"[0.9003466204506065, 0.8960138648180243, 0.9116117850953206, 0.9081455805892548, 0.9098786828422877]"
baseline,description,given_text,10,0.8363951473136917,0.006400757474044844,83.63951473136918,0.6400757474044844,"[0.8310225303292894, 0.8275563258232236, 0.8370883882149047, 0.8448873483535528, 0.841421143847487]"
baseline,description,given_text,20,0.7835355285961871,0.006447513080671831,78.35355285961872,0.6447513080671832,"[0.779896013864818, 0.7764298093587522, 0.7833622183708839, 0.7954939341421143, 0.7824956672443674]"
baseline,pharmacodynamics,given_molecule,4,0.8503482587064676,0.0068534031274517454,85.03482587064676,0.6853403127451746,"[0.8606965174129353, 0.8417910447761194, 0.8467661691542289, 0.8467661691542289, 0.8557213930348259]"
baseline,pharmacodynamics,given_molecule,10,0.7564179104477613,0.004809172526803808,75.64179104477613,0.48091725268038077,"[0.7502487562189055, 0.7522388059701492, 0.7631840796019901, 0.7562189054726368, 0.7601990049751244]"
baseline,pharmacodynamics,given_molecule,20,0.6843781094527364,0.009084746038219587,68.43781094527364,0.9084746038219587,"[0.6746268656716418, 0.6805970149253732, 0.700497512437811, 0.6786069651741293, 0.6875621890547263]"
baseline,pharmacodynamics,given_text,4,0.8338308457711443,0.0067485870478858605,83.38308457711443,0.674858704788586,"[0.8348258706467662, 0.8338308457711443, 0.845771144278607, 0.826865671641791, 0.8278606965174129]"
baseline,pharmacodynamics,given_text,10,0.733134328358209,0.004684020814304391,73.3134328358209,0.4684020814304391,"[0.736318407960199, 0.7393034825870647, 0.7323383084577114, 0.7323383084577114, 0.7253731343283583]"
baseline,pharmacodynamics,given_text,20,0.6593034825870647,0.005822383617244901,65.93034825870647,0.5822383617244901,"[0.6606965174129353, 0.6686567164179105, 0.6606965174129353, 0.6547263681592039, 0.6517412935323383]"
baseline_alpha2,description,given_molecule,4,0.9102253032928944,0.006858356650748465,91.02253032928944,0.6858356650748465,"[0.9220103986135182, 0.9081455805892548, 0.9038128249566725, 0.9038128249566725, 0.9133448873483535]"
baseline_alpha2,description,given_molecule,10,0.8473136915077989,0.007482507155952459,84.73136915077988,0.7482507155952458,"[0.8613518197573656, 0.8405545927209706, 0.8422876949740035, 0.8440207972270364, 0.8483535528596187]"
baseline_alpha2,description,given_molecule,20,0.7956672443674176,0.006137237854289696,79.56672443674177,0.6137237854289695,"[0.8032928942807626, 0.7894280762564991, 0.7972270363951474, 0.7876949740034662, 0.8006932409012132]"
baseline_alpha2,description,given_text,4,0.9006932409012132,0.005524220953382744,90.06932409012131,0.5524220953382744,"[0.9020797227036396, 0.889948006932409, 0.9055459272097054, 0.9038128249566725, 0.9020797227036396]"
baseline_alpha2,description,given_text,10,0.8327556325823224,0.003913895941295055,83.27556325823224,0.39138959412950547,"[0.82842287694974, 0.8275563258232236, 0.8362218370883883, 0.8362218370883883, 0.8353552859618717]"
baseline_alpha2,description,given_text,20,0.7797227036395148,0.003852012265319403,77.97227036395148,0.3852012265319403,"[0.7772963604852686, 0.7842287694974004, 0.7833622183708839, 0.779896013864818, 0.7738301559792028]"
baseline_alpha2,pharmacodynamics,given_molecule,4,0.8495522388059701,0.0017119055257796278,84.955223880597,0.17119055257796278,"[0.8487562189054726, 0.8497512437810946, 0.8507462686567164, 0.8467661691542289, 0.8517412935323383]"
baseline_alpha2,pharmacodynamics,given_molecule,10,0.7576119402985075,0.0021433491769689526,75.76119402985076,0.21433491769689528,"[0.7601990049751244, 0.7562189054726368, 0.7562189054726368, 0.755223880597015, 0.7601990049751244]"
baseline_alpha2,pharmacodynamics,given_molecule,20,0.6782089552238807,0.0037548183610175315,67.82089552238807,0.3754818361017531,"[0.6835820895522388, 0.6766169154228856, 0.681592039800995, 0.6736318407960199, 0.6756218905472637]"
baseline_alpha2,pharmacodynamics,given_text,4,0.8332338308457711,0.0052876936340642555,83.3233830845771,0.5287693634064256,"[0.8348258706467662, 0.8298507462686567, 0.8278606965174129, 0.8308457711442786, 0.8427860696517413]"
baseline_alpha2,pharmacodynamics,given_text,10,0.7343283582089553,0.004792674459220792,73.43283582089552,0.4792674459220792,"[0.7393034825870647, 0.7353233830845771, 0.7253731343283583, 0.7373134328358208, 0.7343283582089553]"
baseline_alpha2,pharmacodynamics,given_text,20,0.6626865671641792,0.004449886522387631,66.26865671641792,0.44498865223876305,"[0.663681592039801, 0.6676616915422886, 0.6597014925373135, 0.6557213930348259, 0.6666666666666666]"
baseline_alpha2,ATC,given_molecule,4,0.711406717658796,0.003281382476499924,71.1406717658796,0.3281382476499924,"[0.7066844030595277, 0.7149983372131693, 0.7130029930162953, 0.7140006651147323, 0.708347189890256]"
baseline_alpha2,ATC,given_molecule,10,0.5626870635184569,0.003756573660510273,56.26870635184569,0.3756573660510273,"[0.5560359161955437, 0.5660126371799136, 0.5650149650814765, 0.5653475224476222, 0.5610242766877286]"
baseline_alpha2,ATC,given_molecule,20,0.464981709344862,0.004177005245921534,46.4981709344862,0.4177005245921534,"[0.4639175257731959, 0.4639175257731959, 0.4672430994346525, 0.4712337878284004, 0.45859660791486534]"
