bin_left,bin_right,count,percent
0.0,0.05,8617,0.17234
0.05,0.1,12131,0.24262
0.1,0.15000000000000002,26190,0.5237999999999999
0.15000000000000002,0.2,107952,2.15904
0.2,0.25,754463,15.08926
0.25,0.30000000000000004,1308256,26.165119999999998
0.30000000000000004,0.35000000000000003,870157,17.40314
0.35000000000000003,0.4,512236,10.244720000000001
0.4,0.45,366018,7.320359999999999
0.45,0.5,231558,4.63116
0.5,0.55,188397,3.7679400000000003
0.55,0.6000000000000001,119058,2.38116
0.6000000000000001,0.65,92635,1.8526999999999998
0.65,0.7000000000000001,65038,1.30076
0.7000000000000001,0.75,46940,0.9388000000000001
0.75,0.8,41063,0.8212600000000001
0.8,0.8500000000000001,46105,0.9221
0.8500000000000001,0.9,49879,0.99758
0.9,0.9500000000000001,69853,1.39706
0.9500000000000001,1.0000001192092896,83454,1.66908
